X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-11074119.0209,3209374.3068,72094,304016,UNKNOWN304016,LAREDO,TX,78045,SUBSTATION,IN SERVICE,WEBB,48479,USA,27.6854540200001,-99.480503746,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/05/31 00:00:00+00,IMAGERY,2017/05/31 00:00:00+00,1,138.0,69.0,Y,Y
-10806640.754,3748223.9182,72095,304017,ABBOTT,ABBOTT,TX,76621,SUBSTATION,IN SERVICE,HILL,48217,USA,31.8849952690001,-97.077705593,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/01/18 00:00:00+00,IMAGERY,2017/01/18 00:00:00+00,2,138.0,69.0,Y,Y
-10926768.7268,3529646.3073,72096,304018,UNKNOWN304018,HENLY,TX,78620,SUBSTATION,IN SERVICE,HAYS,48209,USA,30.2028131060001,-98.1568335329999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2015/08/27 00:00:00+00,IMAGERY,2015/08/27 00:00:00+00,2,138.0,69.0,N,N
-10968811.2372,4011870.7334,72097,304019,UNKNOWN304019,WICHITA FALLS,TX,76308,SUBSTATION,NOT AVAILABLE,WICHITA,48485,USA,33.873812845,-98.5345078299999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/12/22 00:00:00+00,IMAGERY/OTHER,2017/12/22 00:00:00+00,2,138.0,-999999.0,Y,N
-11294443.9476,3656728.949,72098,304020,UNKNOWN304020,BIG LAKE,TX,76932,SUBSTATION,IN SERVICE,REAGAN,48383,USA,31.1844670830001,-101.459716238,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018/10/11 00:00:00+00,IMAGERY,2018/10/11 00:00:00+00,0,-999999.0,-999999.0,N,N
-11246317.31,3434361.745,72099,304021,UNKNOWN304021,DEL RIO,TX,78840,SUBSTATION,IN SERVICE,VAL VERDE,48465,USA,29.4602872130001,-101.027387296,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/03/28 00:00:00+00,IMAGERY,2017/03/28 00:00:00+00,2,138.0,13.8,N,N
-11087731.5109,3955643.3125,72100,304022,UNKNOWN304022,MUNDAY,TX,76371,SUBSTATION,IN SERVICE,KNOX,48275,USA,33.453417115,-99.602786825,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/03/27 00:00:00+00,IMAGERY,2017/03/27 00:00:00+00,6,138.0,69.0,N,N
-11270063.0511,4071429.2407,72101,304023,LONGHORN WIND,JOHNFARRIS,TX,79257,SUBSTATION,IN SERVICE,BRISCOE,48045,USA,34.316866594,-101.240698918,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/28 00:00:00+00,IMAGERY,2017/03/28 00:00:00+00,1,345.0,69.0,N,N
-10569328.5565,3903330.9501,72103,304025,UNKNOWN304025,PITTSBURG,TX,75686,SUBSTATION,IN SERVICE,CAMP,48063,USA,33.06045383,-94.945893852,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2015/06/11 00:00:00+00,IMAGERY,2015/06/11 00:00:00+00,1,138.0,69.0,Y,Y
-11189082.0803,3647864.5007,72104,304026,UNKNOWN304026,CHRISTOVAL,TX,76935,SUBSTATION,IN SERVICE,TOM GREEN,48451,USA,31.11631815,-100.51323448,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/04/11 00:00:00+00,IMAGERY,2017/04/11 00:00:00+00,3,138.0,69.0,N,N
